alias,accession,ENA biosample accession
AD_winter_study_010825_barcode61,ERS27176529,SAMEA120475843
AD_winter_study_010825_barcode62,ERS27176530,SAMEA120475844
AD_winter_study_010825_barcode63,ERS27176531,SAMEA120475845
AD_winter_study_010825_barcode64,ERS27176532,SAMEA120475846
AD_winter_study_010825_barcode65,ERS27176533,SAMEA120475847
AD_winter_study_010825_barcode66,ERS27176534,SAMEA120475848
AD_winter_study_010825_barcode67,ERS27176535,SAMEA120475849
AD_winter_study_010825_barcode68,ERS27176536,SAMEA120475850
AD_winter_study_010825_barcode69,ERS27176537,SAMEA120475851
AD_winter_study_010825_barcode70,ERS27176538,SAMEA120475852
AD_winter_study_010825_barcode71,ERS27176539,SAMEA120475853
AD_winter_study_010825_barcode72,ERS27176540,SAMEA120475854
AD_winter_study_010825_barcode73,ERS27176541,SAMEA120475855
AD_winter_study_010825_barcode74,ERS27176542,SAMEA120475856
AD_winter_study_010825_barcode75,ERS27176543,SAMEA120475857
AD_winter_study_010825_barcode76,ERS27176544,SAMEA120475858
AD_winter_study_010825_barcode77,ERS27176545,SAMEA120475859
AD_winter_study_010825_barcode78,ERS27176546,SAMEA120475860
AD_winter_study_010825_barcode79,ERS27176547,SAMEA120475861
AD_winter_study_010825_barcode80,ERS27176548,SAMEA120475862
AD_winter_study_010825_barcode81,ERS27176549,SAMEA120475863
AD_winter_study_010825_barcode82,ERS27176550,SAMEA120475864
AD_winter_study_010825_barcode83,ERS27176551,SAMEA120475865
AD_winter_study_010825_barcode84,ERS27176552,SAMEA120475866
AD_winter_study_010825_barcode85,ERS27176553,SAMEA120475867
AD_winter_study_010825_barcode86,ERS27176554,SAMEA120475868
AD_winter_study_010825_barcode87,ERS27176555,SAMEA120475869
AD_winter_study_010825_barcode88,ERS27176556,SAMEA120475870
AD_winter_study_010825_barcode89,ERS27176557,SAMEA120475871
AD_winter_study_010825_barcode90,ERS27176558,SAMEA120475872
AD_winter_study_010825_barcode91,ERS27176559,SAMEA120475873
AD_winter_study_010825_barcode92,ERS27176560,SAMEA120475874
AD_winter_study_010825_barcode93,ERS27176561,SAMEA120475875
AD_winter_study_010825_barcode94,ERS27176562,SAMEA120475876
AD_winter_study_010825_barcode95,ERS27176563,SAMEA120475877
AD_winter_study_010825_barcode96,ERS27176564,SAMEA120475878
AD_winter_study_070325_barcode01,ERS27176565,SAMEA120475879
AD_winter_study_070325_barcode02,ERS27176566,SAMEA120475880
AD_winter_study_070325_barcode03,ERS27176567,SAMEA120475881
AD_winter_study_070325_barcode04,ERS27176568,SAMEA120475882
AD_winter_study_070325_barcode05,ERS27176569,SAMEA120475883
AD_winter_study_070325_barcode06,ERS27176570,SAMEA120475884
AD_winter_study_070325_barcode07,ERS27176571,SAMEA120475885
AD_winter_study_070325_barcode08,ERS27176572,SAMEA120475886
AD_winter_study_070325_barcode09,ERS27176573,SAMEA120475887
AD_winter_study_070325_barcode10,ERS27176574,SAMEA120475888
AD_winter_study_070325_barcode11,ERS27176575,SAMEA120475889
AD_winter_study_070325_barcode12,ERS27176576,SAMEA120475890
AD_winter_study_070325_barcode13,ERS27176577,SAMEA120475891
AD_winter_study_070325_barcode14,ERS27176578,SAMEA120475892
AD_winter_study_070325_barcode15,ERS27176579,SAMEA120475893
AD_winter_study_070325_barcode16,ERS27176580,SAMEA120475894
AD_winter_study_070325_barcode17,ERS27176581,SAMEA120475895
AD_winter_study_070325_barcode18,ERS27176582,SAMEA120475896
AD_winter_study_070325_barcode19,ERS27176583,SAMEA120475897
AD_winter_study_070325_barcode20,ERS27176584,SAMEA120475898
AD_winter_study_070325_barcode21,ERS27176585,SAMEA120475899
AD_winter_study_070325_barcode22,ERS27176586,SAMEA120475900
AD_winter_study_070325_barcode23,ERS27176587,SAMEA120475901
AD_winter_study_070325_barcode24,ERS27176588,SAMEA120475902
AD_winter_study_070325_barcode25,ERS27176589,SAMEA120475903
AD_winter_study_070325_barcode26,ERS27176590,SAMEA120475904
AD_winter_study_070325_barcode27,ERS27176591,SAMEA120475905
AD_winter_study_070325_barcode28,ERS27176592,SAMEA120475906
AD_winter_study_070325_barcode29,ERS27176593,SAMEA120475907
AD_winter_study_070325_barcode30,ERS27176594,SAMEA120475908
AD_winter_study_070325_barcode31,ERS27176595,SAMEA120475909
