run_name,barcode,run_accession,experiment_accession
AD_winter_study_010825,61,ERR15818908,ERX15219178
AD_winter_study_010825,62,ERR15818908,ERX15218025
AD_winter_study_010825,63,ERR15818874,ERX15219144
AD_winter_study_010825,64,ERR15818991,ERX15219261
AD_winter_study_010825,65,ERR15818991,ERX15219229
AD_winter_study_010825,66,ERR15818991,ERX15218584
AD_winter_study_010825,67,ERR15818991,ERX15218012
AD_winter_study_010825,68,ERR15818891,ERX15219161
AD_winter_study_010825,69,ERR15818891,ERX15219205
AD_winter_study_010825,70,ERR15818891,ERX15218221
AD_winter_study_010825,71,ERR15818891,ERX15218596
AD_winter_study_010825,72,ERR15818891,ERX15219142
AD_winter_study_010825,73,ERR15818909,ERX15219179
AD_winter_study_010825,74,ERR15818101,ERX15218223
AD_winter_study_010825,75,ERR15818388,ERX15218562
AD_winter_study_010825,76,ERR15817975,ERX15218001
AD_winter_study_010825,77,ERR15818937,ERX15219207
AD_winter_study_010825,78,ERR15818937,ERX15218015
AD_winter_study_010825,79,ERR15818998,ERX15219268
AD_winter_study_010825,80,ERR15818998,ERX15218227
AD_winter_study_010825,81,ERR15818993,ERX15219263
AD_winter_study_010825,82,ERR15818055,ERX15218177
AD_winter_study_010825,83,ERR15818144,ERX15218362
AD_winter_study_010825,84,ERR15818144,ERX15219189
AD_winter_study_010825,85,ERR15818448,ERX15218718
AD_winter_study_010825,86,ERR15818448,ERX15218029
AD_winter_study_010825,87,ERR15818962,ERX15219232
AD_winter_study_010825,88,ERR15818120,ERX15218338
AD_winter_study_010825,89,ERR15818065,ERX15218187
AD_winter_study_010825,90,ERR15818865,ERX15219135
AD_winter_study_010825,91,ERR15818013,ERX15218039
AD_winter_study_010825,92,ERR15818404,ERX15218578
AD_winter_study_010825,93,ERR15818037,ERX15218159
AD_winter_study_010825,94,ERR15818402,ERX15218576
AD_winter_study_010825,95,ERR15818402,ERX15218235
AD_winter_study_010825,96,ERR15818402,ERX15218051
AD_winter_study_070325,01,ERR15818402,ERX15219204
AD_winter_study_070325,02,ERR15818402,ERX15218574
AD_winter_study_070325,03,ERR15818413,ERX15218587
AD_winter_study_070325,04,ERR15818413,ERX15218569
AD_winter_study_070325,05,ERR15818413,ERX15218054
AD_winter_study_070325,06,ERR15818995,ERX15219265
AD_winter_study_070325,07,ERR15818936,ERX15219206
AD_winter_study_070325,08,ERR15818936,ERX15219182
AD_winter_study_070325,09,ERR15818916,ERX15219186
AD_winter_study_070325,10,ERR15818916,ERX15219145
AD_winter_study_070325,11,ERR15818414,ERX15218588
AD_winter_study_070325,12,ERR15818414,ERX15218337
AD_winter_study_070325,13,ERR15818072,ERX15218194
AD_winter_study_070325,14,ERR15818876,ERX15219146
AD_winter_study_070325,15,ERR15818927,ERX15219197
AD_winter_study_070325,16,ERR15818979,ERX15219249
AD_winter_study_070325,17,ERR15818089,ERX15218211
AD_winter_study_070325,18,ERR15818089,ERX15218720
AD_winter_study_070325,19,ERR15818089,ERX15218367
AD_winter_study_070325,20,ERR15818089,ERX15219235
AD_winter_study_070325,21,ERR15818089,ERX15218024
AD_winter_study_070325,22,ERR15818089,ERX15218346
AD_winter_study_070325,23,ERR15818089,ERX15218027
AD_winter_study_070325,24,ERR15818089,ERX15219188
AD_winter_study_070325,25,ERR15818892,ERX15219162
AD_winter_study_070325,26,ERR15818892,ERX15218723
AD_winter_study_070325,27,ERR15818911,ERX15219181
AD_winter_study_070325,28,ERR15818911,ERX15218161
AD_winter_study_070325,29,ERR15818911,ERX15219177
AD_winter_study_070325,30,ERR15818911,ERX15218178
AD_winter_study_070325,31,ERR15818911,ERX15219171
AD_winter_study_070325,32,ERR15818911,ERX15218577
AD_winter_study_070325,33,ERR15818911,ERX15218438
AD_winter_study_070325,34,ERR15818143,ERX15218361
AD_winter_study_070325,35,ERR15818143,ERX15218005
AD_winter_study_100425,01,ERR15818143,ERX15218219
AD_winter_study_100425,02,ERR15818143,ERX15219274
AD_winter_study_100425,03,ERR15818158,ERX15218376
AD_winter_study_100425,04,ERR15818158,ERX15218703
AD_winter_study_100425,05,ERR15818158,ERX15219250
AD_winter_study_100425,06,ERR15818158,ERX15219243
AD_winter_study_100425,07,ERR15818913,ERX15219183
AD_winter_study_100425,08,ERR15818913,ERX15218234
AD_winter_study_100425,09,ERR15818913,ERX15218011
AD_winter_study_100425,10,ERR15818913,ERX15219226
AD_winter_study_100425,11,ERR15818913,ERX15218057
AD_winter_study_100425,12,ERR15818913,ERX15218017
AD_winter_study_100425,13,ERR15818913,ERX15218700
AD_winter_study_100425,14,ERR15818913,ERX15218225
AD_winter_study_100425,15,ERR15818913,ERX15219165
AD_winter_study_100425,16,ERR15818913,ERX15219141
AD_winter_study_100425,17,ERR15818913,ERX15218726
AD_winter_study_100425,18,ERR15818913,ERX15218370
AD_winter_study_100425,19,ERR15818130,ERX15218348
AD_winter_study_100425,20,ERR15818130,ERX15218052
AD_winter_study_100425,21,ERR15818130,ERX15218594
AD_winter_study_100425,22,ERR15818130,ERX15218021
AD_winter_study_100425,23,ERR15818130,ERX15219220
AD_winter_study_100425,24,ERR15818362,ERX15218440
AD_winter_study_100425,25,ERR15818376,ERX15218550
AD_winter_study_100425,26,ERR15818376,ERX15218190
AD_winter_study_100425,27,ERR15818376,ERX15218553
AD_winter_study_100425,28,ERR15818376,ERX15218218
AD_winter_study_100425,29,ERR15818376,ERX15218586
AD_winter_study_100425,30,ERR15818376,ERX15218597
AD_winter_study_100425,31,ERR15818376,ERX15219158
AD_winter_study_100425,32,ERR15818376,ERX15218371
AD_winter_study_100425,33,ERR15818376,ERX15218543
AD_winter_study_100425,34,ERR15818376,ERX15218041
AD_winter_study_100425,35,ERR15818376,ERX15218335
AD_winter_study_100425,36,ERR15818376,ERX15219134
AD_winter_study_130825_rpt050825,01,ERR15819006,ERX15219276
AD_winter_study_130825_rpt050825,02,ERR15819006,ERX15218183
AD_winter_study_130825_rpt050825,03,ERR15818129,ERX15218347
AD_winter_study_130825_rpt050825,04,ERR15818129,ERX15219167
AD_winter_study_130825_rpt050825,35,ERR15818425,ERX15218695
AD_winter_study_130825_rpt050825,36,ERR15818107,ERX15218229
AD_winter_study_130825_rpt050825,37,ERR15818903,ERX15219173
AD_winter_study_130825_rpt050825,38,ERR15819010,ERX15219280
AD_winter_study_130825_rpt050825,39,ERR15818361,ERX15218439
AD_winter_study_130825_rpt050825,40,ERR15818116,ERX15218238
AD_winter_study_130825_rpt050825,73,ERR15818887,ERX15219157
AD_winter_study_130825_rpt050825,74,ERR15818442,ERX15218712
AD_winter_study_130825_rpt050825,75,ERR15818926,ERX15219196
AD_winter_study_130825_rpt050825,76,ERR15818947,ERX15219217
AD_winter_study_130825_rpt050825,77,ERR15818401,ERX15218575
AD_winter_study_130825_rpt050825,78,ERR15817978,ERX15218004
AD_winter_study_130825_rpt050825,79,ERR15818106,ERX15218228
AD_winter_study_130825_rpt050825,80,ERR15818106,ERX15218180
