file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)
derivation_passed_samples_fqs/Expt9A_SISPA_Katie/SQK-RBK114-96_barcode01.fastq.gz	FASTQ	DNA	63985	21096219	60	329.7	8487	178.0	286.0	415.0	0	393	1021	73.01	60.22	12.42	47.52
derivation_passed_samples_fqs/Expt9A_SISPA_Katie/SQK-RBK114-96_barcode02.fastq.gz	FASTQ	DNA	64174	20992315	63	327.1	74616	196.0	286.0	401.0	0	375	963	72.89	59.61	12.31	48.05
derivation_passed_samples_fqs/Expt9A_SISPA_Katie/SQK-RBK114-96_barcode03.fastq.gz	FASTQ	DNA	87058	30337649	62	348.5	2570	193.0	290.0	433.0	0	414	1184	73.85	60.72	12.57	48.47
derivation_passed_samples_fqs/Expt9A_SISPA_Katie/SQK-RBK114-96_barcode04.fastq.gz	FASTQ	DNA	81682	32445583	62	397.2	74383	238.0	332.0	493.0	0	467	1268	77.32	63.71	13.44	48.10
derivation_passed_samples_fqs/Expt9A_SISPA_Katie/SQK-RBK114-96_barcode06.fastq.gz	FASTQ	DNA	91089	28059849	60	308.0	3499	186.0	277.0	375.0	0	349	1025	71.45	58.13	12.18	47.22
derivation_passed_samples_fqs/Expt9A_SISPA_Katie/SQK-RBK114-96_barcode07.fastq.gz	FASTQ	DNA	119178	45936722	62	385.4	8685	231.0	322.0	477.0	0	451	1340	76.98	64.46	13.22	48.12
derivation_passed_samples_fqs/Expt9A_SISPA_Katie/SQK-RBK114-96_barcode08.fastq.gz	FASTQ	DNA	61166	24002378	61	392.4	49742	196.0	315.0	515.0	0	515	1161	76.78	64.09	13.16	47.41
derivation_passed_samples_fqs/Expt9A_SISPA_Katie/SQK-RBK114-96_barcode11.fastq.gz	FASTQ	DNA	106196	35771700	61	336.8	91166	198.0	290.0	418.0	0	392	1074	74.23	61.07	12.61	47.70
derivation_passed_samples_fqs/Expt9A_SISPA_Katie/SQK-RBK114-96_barcode12.fastq.gz	FASTQ	DNA	66694	22400494	69	335.9	34292	203.0	289.0	412.0	0	385	1001	71.76	57.72	12.33	47.86
derivation_passed_samples_fqs/Expt9A_SISPA_Katie/SQK-RBK114-96_barcode15.fastq.gz	FASTQ	DNA	85554	29516950	62	345.0	25108	178.0	287.0	437.0	0	425	1151	75.27	62.47	12.64	48.51
derivation_passed_samples_fqs/expt10A_17072024/SQK-RBK114-96_barcode02.fastq.gz	FASTQ	DNA	110560	36857201	62	333.4	609402	213.0	287.0	372.0	0	354	826	59.82	47.93	10.03	48.50
derivation_passed_samples_fqs/expt10A_17072024/SQK-RBK114-96_barcode03.fastq.gz	FASTQ	DNA	94879	31864866	60	335.8	305743	188.0	279.0	395.0	0	382	1019	63.10	50.30	10.50	47.47
derivation_passed_samples_fqs/expt10A_17072024/SQK-RBK114-96_barcode04.fastq.gz	FASTQ	DNA	90105	31412824	61	348.6	350169	222.0	300.0	399.0	0	376	984	63.24	49.62	10.80	48.12
derivation_passed_samples_fqs/expt10A_17072024/SQK-RBK114-96_barcode05.fastq.gz	FASTQ	DNA	86548	34135877	61	394.4	463463	220.0	311.0	455.0	0	453	1091	66.79	54.50	10.70	49.78
derivation_passed_samples_fqs/expt10A_17072024/SQK-RBK114-96_barcode06.fastq.gz	FASTQ	DNA	87455	29082585	60	332.5	501796	185.0	280.0	374.0	0	364	914	61.13	48.54	10.22	48.43
derivation_passed_samples_fqs/expt10A_17072024/SQK-RBK114-96_barcode07.fastq.gz	FASTQ	DNA	108474	32202992	60	296.9	264788	178.0	265.0	351.0	0	330	856	61.71	48.85	10.28	48.29
derivation_passed_samples_fqs/expt10A_17072024/SQK-RBK114-96_barcode08.fastq.gz	FASTQ	DNA	70824	21597609	62	304.9	391975	192.0	273.0	354.0	0	331	746	60.26	46.32	10.31	49.17
derivation_passed_samples_fqs/expt10A_17072024/SQK-RBK114-96_barcode09.fastq.gz	FASTQ	DNA	109686	43796887	61	399.3	393686	212.0	316.0	481.0	0	482	1257	69.17	56.61	11.16	48.49
derivation_passed_samples_fqs/expt10A_17072024/SQK-RBK114-96_barcode10.fastq.gz	FASTQ	DNA	46912	18253517	58	389.1	601652	217.0	314.0	461.0	0	454	994	67.04	54.50	10.97	49.61
derivation_passed_samples_fqs/expt10A_17072024/SQK-RBK114-96_barcode11.fastq.gz	FASTQ	DNA	116610	51310351	62	440.0	747407	206.0	301.0	459.0	0	519	1243	59.26	48.10	9.07	50.17
derivation_passed_samples_fqs/expt10A_17072024/SQK-RBK114-96_barcode12.fastq.gz	FASTQ	DNA	84309	34572137	60	410.1	241437	241.0	334.0	501.0	0	481	1167	70.31	57.53	11.73	48.54
derivation_passed_samples_fqs/expt10A_17072024/SQK-RBK114-96_barcode13.fastq.gz	FASTQ	DNA	101101	34126638	61	337.5	502183	183.0	275.0	386.0	0	381	987	62.22	49.57	9.92	48.42
derivation_passed_samples_fqs/expt10A_17072024/SQK-RBK114-96_barcode14.fastq.gz	FASTQ	DNA	98362	33355829	61	339.1	421148	219.0	296.0	391.0	0	367	910	64.42	50.95	10.90	49.26
derivation_passed_samples_fqs/expt10A_17072024/SQK-RBK114-96_barcode15.fastq.gz	FASTQ	DNA	87291	31407889	60	359.8	512812	181.0	291.0	424.0	0	425	1096	63.95	51.47	10.63	49.70
derivation_passed_samples_fqs/expt10A_17072024/SQK-RBK114-96_barcode16.fastq.gz	FASTQ	DNA	112798	43645473	61	386.9	442433	212.0	306.0	448.0	0	448	1165	65.38	52.81	10.64	49.77
derivation_passed_samples_fqs/expt10A_17072024/SQK-RBK114-96_barcode17.fastq.gz	FASTQ	DNA	135178	55151531	61	408.0	565759	219.0	310.0	446.0	0	459	1245	62.19	50.48	9.72	49.91
derivation_passed_samples_fqs/expt10A_17072024/SQK-RBK114-96_barcode18.fastq.gz	FASTQ	DNA	92647	33084156	61	357.1	362800	193.0	291.0	423.0	0	417	1109	64.54	52.09	10.46	48.42
derivation_passed_samples_fqs/expt10A_17072024/SQK-RBK114-96_barcode19.fastq.gz	FASTQ	DNA	131161	49014721	61	373.7	260072	206.0	296.0	423.0	0	422	1173	62.55	50.01	10.28	49.02
derivation_passed_samples_fqs/expt10A_17072024/SQK-RBK114-96_barcode20.fastq.gz	FASTQ	DNA	81526	29314638	60	359.6	174887	215.0	301.0	426.0	0	406	1064	67.34	54.33	11.24	47.19
derivation_passed_samples_fqs/expt10_03072024/SQK-RBK114-96_barcode57.fastq.gz	FASTQ	DNA	52816	15622994	64	295.8	103593	147.0	264.0	371.0	0	355	742	59.10	46.55	10.20	48.92
derivation_passed_samples_fqs/expt10_03072024/SQK-RBK114-96_barcode58.fastq.gz	FASTQ	DNA	25890	7824265	61	302.2	130408	137.0	246.0	359.0	0	360	684	55.70	42.77	9.55	48.93
derivation_passed_samples_fqs/expt10_03072024/SQK-RBK114-96_barcode60.fastq.gz	FASTQ	DNA	59410	24286612	60	408.8	345239	172.0	292.0	457.0	0	510	1174	61.47	49.16	9.68	50.34
derivation_passed_samples_fqs/expt10_03072024/SQK-RBK114-96_barcode61.fastq.gz	FASTQ	DNA	36944	13153775	65	356.0	236006	146.0	258.0	434.0	0	473	1112	65.41	52.29	10.89	49.13
derivation_passed_samples_fqs/expt10_03072024/SQK-RBK114-96_barcode63.fastq.gz	FASTQ	DNA	91340	41471643	62	454.0	307305	220.0	328.0	511.0	0	553	1422	65.13	52.43	10.46	50.12
derivation_passed_samples_fqs/expt10_03072024/SQK-RBK114-96_barcode64.fastq.gz	FASTQ	DNA	109161	45036368	61	412.6	481000	192.0	304.0	465.0	0	499	1365	63.08	50.52	10.03	49.57
derivation_passed_samples_fqs/expt10_03072024/SQK-RBK114-96_barcode66.fastq.gz	FASTQ	DNA	51082	21886875	60	428.5	386917	178.0	292.0	467.0	0	542	1117	59.71	47.22	9.50	49.60
derivation_passed_samples_fqs/expt10_03072024/SQK-RBK114-96_barcode67.fastq.gz	FASTQ	DNA	125332	48562978	62	387.5	346068	185.0	296.0	446.0	0	465	1392	64.02	51.16	10.44	50.33
derivation_passed_samples_fqs/expt10_03072024/SQK-RBK114-96_barcode70.fastq.gz	FASTQ	DNA	78026	25507996	64	326.9	640816	156.0	265.0	372.0	0	375	876	57.62	44.58	9.51	48.66
derivation_passed_samples_fqs/expt10_03072024/SQK-RBK114-96_barcode71.fastq.gz	FASTQ	DNA	76951	26237321	61	341.0	802076	169.0	266.0	352.0	0	361	800	52.64	41.06	8.85	49.76
derivation_passed_samples_fqs/expt10_03072024/SQK-RBK114-96_barcode73.fastq.gz	FASTQ	DNA	37940	14671887	63	386.7	557122	165.0	275.0	415.0	0	468	913	57.59	45.44	9.55	50.48
derivation_passed_samples_fqs/expt10_03072024/SQK-RBK114-96_barcode74.fastq.gz	FASTQ	DNA	38479	14171105	61	368.3	244536	156.0	275.0	418.0	0	453	982	59.56	46.90	9.65	49.22
derivation_passed_samples_fqs/expt10_03072024/SQK-RBK114-96_barcode77.fastq.gz	FASTQ	DNA	36519	12841879	60	351.6	693355	154.0	243.0	332.0	0	364	551	44.47	34.01	7.56	50.75
derivation_passed_samples_fqs/expt10_03072024/SQK-RBK114-96_barcode79.fastq.gz	FASTQ	DNA	55167	23609147	60	428.0	441512	199.0	304.0	458.0	0	506	1124	60.57	48.36	9.67	50.36
derivation_passed_samples_fqs/expt10_03072024/SQK-RBK114-96_barcode80.fastq.gz	FASTQ	DNA	34299	12896560	60	376.0	214682	170.0	282.0	434.0	0	461	970	62.63	49.74	10.08	49.22
derivation_passed_samples_fqs/expt11_150824/SQK-RBK114-96_barcode34.fastq.gz	FASTQ	DNA	148685	53519271	62	360.0	530518	196.0	290.0	441.0	0	435	1385	67.69	54.03	11.36	47.90
derivation_passed_samples_fqs/expt11_150824/SQK-RBK114-96_barcode35.fastq.gz	FASTQ	DNA	68150	23954408	60	351.5	325881	170.0	267.0	417.0	0	436	1131	62.22	48.57	10.11	49.86
derivation_passed_samples_fqs/expt11_150824/SQK-RBK114-96_barcode36.fastq.gz	FASTQ	DNA	89739	34166846	60	380.7	333586	195.0	296.0	465.0	0	473	1308	67.60	54.49	11.18	48.91
derivation_passed_samples_fqs/expt11_150824/SQK-RBK114-96_barcode37.fastq.gz	FASTQ	DNA	89316	33489867	59	375.0	499368	180.0	280.0	445.0	0	471	1246	64.16	50.80	10.41	48.61
derivation_passed_samples_fqs/expt11_150824/SQK-RBK114-96_barcode38.fastq.gz	FASTQ	DNA	109973	41970231	67	381.6	592770	192.0	294.0	462.0	0	475	1350	65.96	52.66	10.95	48.54
derivation_passed_samples_fqs/expt11_150824/SQK-RBK114-96_barcode39.fastq.gz	FASTQ	DNA	80495	31421845	60	390.4	461842	181.0	281.0	448.0	0	494	1223	62.29	49.18	10.04	49.63
derivation_passed_samples_fqs/expt11_150824/SQK-RBK114-96_barcode40.fastq.gz	FASTQ	DNA	130152	51161944	59	393.1	735544	198.0	302.0	474.0	0	487	1507	66.89	53.17	11.00	49.44
derivation_passed_samples_fqs/expt11_150824/SQK-RBK114-96_barcode41.fastq.gz	FASTQ	DNA	103453	33488144	52	323.7	473620	166.0	256.0	370.0	0	374	1069	58.41	45.17	9.79	48.43
derivation_passed_samples_fqs/expt11_150824/SQK-RBK114-96_barcode42.fastq.gz	FASTQ	DNA	74829	30656341	58	409.7	282415	199.0	299.0	465.0	0	497	1212	63.33	50.83	10.08	49.77
derivation_passed_samples_fqs/expt11_150824/SQK-RBK114-96_barcode45.fastq.gz	FASTQ	DNA	125051	45445136	61	363.4	755717	194.0	283.0	416.0	0	423	1232	61.94	49.33	10.18	48.72
derivation_passed_samples_fqs/expt11_150824/SQK-RBK114-96_barcode46.fastq.gz	FASTQ	DNA	94607	36013639	59	380.7	457549	184.0	268.0	414.0	0	462	1186	58.58	45.93	9.27	49.17
derivation_passed_samples_fqs/expt11_150824/SQK-RBK114-96_barcode47.fastq.gz	FASTQ	DNA	118071	45526466	60	385.6	315377	195.0	295.0	460.0	0	477	1350	66.02	52.72	10.75	48.42
derivation_passed_samples_fqs/expt11_150824/SQK-RBK114-96_barcode48.fastq.gz	FASTQ	DNA	89718	29871024	60	332.9	98797	168.0	260.0	410.0	0	416	1225	64.38	51.05	10.81	47.46
derivation_passed_samples_fqs/expt11_150824/SQK-RBK114-96_barcode49.fastq.gz	FASTQ	DNA	77795	30375496	60	390.5	786649	196.0	296.0	458.0	0	479	1185	64.24	51.56	10.52	47.56
derivation_passed_samples_fqs/expt11_150824/SQK-RBK114-96_barcode50.fastq.gz	FASTQ	DNA	103317	37912832	60	367.0	229582	200.0	298.0	447.0	0	441	1299	68.19	54.02	11.36	48.46
derivation_passed_samples_fqs/expt11_150824/SQK-RBK114-96_barcode51.fastq.gz	FASTQ	DNA	142754	55004103	61	385.3	1008550	191.0	282.0	427.0	0	461	1315	59.31	46.57	9.68	49.74
derivation_passed_samples_fqs/expt11_150824/SQK-RBK114-96_barcode53.fastq.gz	FASTQ	DNA	91604	34034793	65	371.5	428812	167.0	269.0	429.0	0	468	1173	60.32	48.03	9.81	48.56
