fpr,tpr,thresholds,sensitivity,specificity,1-specificity,Youden J statistic,metric
0.0,0.0,2.0,0.0,1.0,0.0,0.0,Cov3
0.0,0.20408163265306123,1.0,0.20408163265306123,1.0,0.0,0.20408163265306123,Cov3
0.0,0.22448979591836735,0.9999999999999925,0.22448979591836735,1.0,0.0,0.22448979591836737,Cov3
0.0,0.2653061224489796,0.9999999999901203,0.2653061224489796,1.0,0.0,0.26530612244897966,Cov3
0.0,0.2857142857142857,0.9999999999887039,0.2857142857142857,1.0,0.0,0.2857142857142856,Cov3
0.0,0.32653061224489793,0.9999999914788203,0.32653061224489793,1.0,0.0,0.3265306122448979,Cov3
0.0,0.3877551020408163,0.9999986145991311,0.3877551020408163,1.0,0.0,0.3877551020408163,Cov3
0.0,0.42857142857142855,0.999964632100503,0.42857142857142855,1.0,0.0,0.4285714285714286,Cov3
0.0,0.5918367346938775,0.9316861508681155,0.5918367346938775,1.0,0.0,0.5918367346938775,Cov3
0.1111111111111111,0.6122448979591837,0.8218414846233656,0.6122448979591837,0.8888888888888888,0.1111111111111111,0.5011337868480725,Cov3
0.1111111111111111,0.6530612244897959,0.7391737434546441,0.6530612244897959,0.8888888888888888,0.1111111111111111,0.5419501133786846,Cov3
1.0,1.0,0.6816882454496257,1.0,0.0,1.0,0.0,Cov3
