Sample name,run,chrom,readID,edit_distance,aln_length,mapQ,edit_percentage,pathogen_x,pathogen_reduced,Run,barcode,seq_name,pathogen_y,Biofire positive,True species hit,readID_dup
77,expt10_03072024,CP085971.1,3be591d2-c938-41f0-9166-3a1e832c2cc1,24.0,159.0,20.0,15.09433962264151,Bordetella_parapertussis,Bordetella_parapertussis,expt10_03072024,77.0,7B,Bordetella_parapertussis,0.0,0,False
71,010524_Expt9_SISPA_Kate,CP085971.1,f606c46d-9e30-4c2d-86ae-92e50f39bb37,27.0,158.0,8.0,17.088607594936708,Bordetella_parapertussis,Bordetella_parapertussis,010524_Expt9_SISPA_Kate,71.0,S2P2,Bordetella_parapertussis,0.0,0,False
76,010524_Expt9_SISPA_Kate,CP085971.1,0df07909-e00e-404c-b558-698153cfffe7,30.0,165.0,0.0,18.181818181818183,Bordetella_parapertussis,Bordetella_parapertussis,010524_Expt9_SISPA_Kate,76.0,S3P3,Bordetella_parapertussis,0.0,0,False
11,expt10A_17072024,CP085971.1,4cd0c92f-c70b-4c1c-a5ff-b64691a6db1c,69.0,407.0,0.0,16.953316953316953,Bordetella_parapertussis,Bordetella_parapertussis,expt10A_17072024,11.0,6A,Bordetella_parapertussis,0.0,0,False
76,010524_Expt9_SISPA_Kate,CP085971.1,2a26247a-1368-4d08-9a1a-a40352d68e58,14.0,123.0,0.0,11.38211382113821,Bordetella_parapertussis,Bordetella_parapertussis,010524_Expt9_SISPA_Kate,76.0,S3P3,Bordetella_parapertussis,0.0,0,False
57,expt10_03072024,CP085971.1,8205fe33-0d5e-44ea-babf-8ad8adb752c7,8.0,100.0,12.0,8.0,Bordetella_parapertussis,Bordetella_parapertussis,expt10_03072024,57.0,1A,Bordetella_parapertussis,0.0,0,False
70,010524_Expt9_SISPA_Kate,CP085971.1,92a1dc80-b811-428c-a520-db9db46da744,186.0,589.0,14.0,31.57894736842105,Bordetella_parapertussis,Bordetella_parapertussis,010524_Expt9_SISPA_Kate,70.0,S1P2,Bordetella_parapertussis,0.0,0,False
76,010524_Expt9_SISPA_Kate,CP085971.1,8aa40b35-ed9d-4ca6-9f8f-86fa8d537660,21.0,166.0,0.0,12.650602409638553,Bordetella_parapertussis,Bordetella_parapertussis,010524_Expt9_SISPA_Kate,76.0,S3P3,Bordetella_parapertussis,0.0,0,False
43,expt11_150824,NZ_CP025371.1,d4b9d00a-d46e-4c28-bc04-0c5776b86eb0,21.0,143.0,7.0,14.685314685314685,Bordetella_pertussis,Bordetella_pertussis,expt11_150824,43.0,NC1,Bordetella_pertussis,0.0,0,False
77,expt10_03072024,NZ_CP025371.1,dd28def1-90ee-4957-b8bc-c75f5dc2aaae,29.0,216.0,30.0,13.425925925925927,Bordetella_pertussis,Bordetella_pertussis,expt10_03072024,77.0,7B,Bordetella_pertussis,0.0,0,False
71,010524_Expt9_SISPA_Kate,NZ_CP025371.1,14fec78c-0890-49b7-aca6-2dec56c41767,93.0,426.0,1.0,21.830985915492956,Bordetella_pertussis,Bordetella_pertussis,010524_Expt9_SISPA_Kate,71.0,S2P2,Bordetella_pertussis,0.0,0,False
71,010524_Expt9_SISPA_Kate,NZ_CP025371.1,64f61ad4-7d7c-446d-b26a-8520bef67151,7.0,70.0,1.0,10.0,Bordetella_pertussis,Bordetella_pertussis,010524_Expt9_SISPA_Kate,71.0,S2P2,Bordetella_pertussis,0.0,0,False
2,expt10A_17072024,NZ_CP025371.1,124fcd44-a42d-4195-89a0-f6996f264f46,49.0,268.0,1.0,18.28358208955224,Bordetella_pertussis,Bordetella_pertussis,expt10A_17072024,2.0,1B,Bordetella_pertussis,0.0,0,True
58,expt10_03072024,NZ_CP025371.1,996f12ca-f1fe-4192-9daf-9af7b010b680,42.0,278.0,28.0,15.107913669064748,Bordetella_pertussis,Bordetella_pertussis,expt10_03072024,58.0,1B,Bordetella_pertussis,0.0,0,False
76,expt10_03072024,NZ_CP025371.1,7c6eddf9-2b0b-4b40-870a-32380d3d809e,23.0,135.0,2.0,17.037037037037038,Bordetella_pertussis,Bordetella_pertussis,expt10_03072024,76.0,7A,Bordetella_pertussis,0.0,0,False
79,010524_Expt9_SISPA_Kate,Human_coronavirus_229E,bd42eb21-7e83-47a2-80f1-ce4de57f23dc,5.0,117.0,60.0,4.273504273504273,Coronavirus 229E,Coronavirus 229E,010524_Expt9_SISPA_Kate,79.0,S2P4,Coronavirus 229E,0.0,0,False
79,010524_Expt9_SISPA_Kate,Human_coronavirus_229E,336882b1-4bcf-4e4e-80b6-6f3a4d2cb015,6.0,285.0,60.0,2.1052631578947367,Coronavirus 229E,Coronavirus 229E,010524_Expt9_SISPA_Kate,79.0,S2P4,Coronavirus 229E,0.0,0,False
79,010524_Expt9_SISPA_Kate,Human_coronavirus_229E,d18048b3-e634-4a14-bbab-22667129d36c,3.0,152.0,60.0,1.9736842105263157,Coronavirus 229E,Coronavirus 229E,010524_Expt9_SISPA_Kate,79.0,S2P4,Coronavirus 229E,0.0,0,False
77,010524_Expt9_SISPA_Kate,Human_coronavirus_229E,593f7876-2ef5-4d1b-95d3-cc9308422a4c,8.0,186.0,60.0,4.301075268817205,Coronavirus 229E,Coronavirus 229E,010524_Expt9_SISPA_Kate,77.0,S4P3,Coronavirus 229E,0.0,0,False
79,010524_Expt9_SISPA_Kate,Human_coronavirus_229E,8600285d-d537-4cad-a1af-9382b6f0785b,7.0,105.0,31.0,6.666666666666667,Coronavirus 229E,Coronavirus 229E,010524_Expt9_SISPA_Kate,79.0,S2P4,Coronavirus 229E,0.0,0,False
79,010524_Expt9_SISPA_Kate,Human_coronavirus_229E,bb573189-44ef-42ba-ad63-f3fee118ffa2,9.0,143.0,60.0,6.293706293706294,Coronavirus 229E,Coronavirus 229E,010524_Expt9_SISPA_Kate,79.0,S2P4,Coronavirus 229E,0.0,0,False
79,010524_Expt9_SISPA_Kate,Human_coronavirus_229E,6a5546f2-6b2a-46b0-af65-97b27f199b0d,27.0,144.0,60.0,18.75,Coronavirus 229E,Coronavirus 229E,010524_Expt9_SISPA_Kate,79.0,S2P4,Coronavirus 229E,0.0,0,False
79,010524_Expt9_SISPA_Kate,Human_coronavirus_229E,b7b527b2-c235-427d-9f4f-691931f07e05,3.0,144.0,60.0,2.083333333333333,Coronavirus 229E,Coronavirus 229E,010524_Expt9_SISPA_Kate,79.0,S2P4,Coronavirus 229E,0.0,0,False
77,010524_Expt9_SISPA_Kate,Human_coronavirus_229E,256a6174-60c0-47d4-8017-f98d14efc1c3,19.0,456.0,60.0,4.166666666666666,Coronavirus 229E,Coronavirus 229E,010524_Expt9_SISPA_Kate,77.0,S4P3,Coronavirus 229E,0.0,0,False
73,010524_Expt9_SISPA_Daisy,Influenza_A_virus_A_Puerto_Rico_8_1934H1N1_segment_1,01d8fb5d-b1bc-46a3-8ab9-6e9ba7bc408e,3.0,78.0,14.0,3.8461538461538463,Flu A/H1,Influenza A/H1,010524_Expt9_SISPA_Daisy,73.0,S2P4,Influenza A/H1,0.0,0,False
69,010524_Expt9_SISPA_Daisy,Influenza_A_virus_A_Puerto_Rico_8_1934H1N1_segment_1,7fdb2d8e-b99a-43b4-acc2-0eaa90111518,12.0,112.0,12.0,10.714285714285714,Flu A/H1,Influenza A/H1,010524_Expt9_SISPA_Daisy,69.0,S2P2,Influenza A/H1,0.0,0,True
73,010524_Expt9_SISPA_Daisy,Influenza_A_virus_A_Puerto_Rico_8_1934H1N1_segment_1,590537f7-a268-44b2-b4be-8f76bd4b4d22,13.0,205.0,60.0,6.341463414634147,Flu A/H1,Influenza A/H1,010524_Expt9_SISPA_Daisy,73.0,S2P4,Influenza A/H1,0.0,0,False
73,010524_Expt9_SISPA_Daisy,Influenza_A_virus_A_Puerto_Rico_8_1934H1N1_segment_1,909319d8-bc1b-468d-be64-d4c8a8a53264,12.0,107.0,22.0,11.214953271028037,Flu A/H1,Influenza A/H1,010524_Expt9_SISPA_Daisy,73.0,S2P4,Influenza A/H1,0.0,0,True
69,010524_Expt9_SISPA_Daisy,Influenza_A_virus_A_Puerto_Rico_8_1934H1N1_segment_6,23f99e05-ffde-43ad-956d-d9a85db1cb2b,3.0,58.0,5.0,5.172413793103448,Flu A/H1,Influenza A/H1,010524_Expt9_SISPA_Daisy,69.0,S2P2,Influenza A/H1,0.0,0,False
69,010524_Expt9_SISPA_Daisy,Influenza_A_virus_A_Puerto_Rico_8_1934H1N1_segment_6,2742819b-af9b-4270-82c5-a2571a512541,3.0,61.0,6.0,4.918032786885246,Flu A/H1,Influenza A/H1,010524_Expt9_SISPA_Daisy,69.0,S2P2,Influenza A/H1,0.0,0,False
69,010524_Expt9_SISPA_Daisy,Influenza_A_virus_A_Puerto_Rico_8_1934H1N1_segment_6,19231e82-b3fb-4e41-869a-71f59889abe1,3.0,60.0,5.0,5.0,Flu A/H1,Influenza A/H1,010524_Expt9_SISPA_Daisy,69.0,S2P2,Influenza A/H1,0.0,0,False
73,010524_Expt9_SISPA_Daisy,Influenza_A_virus_A_Puerto_Rico_8_1934H1N1_segment_1,a0ee977f-a976-40ee-b774-febc685c9e6a,15.0,185.0,25.0,8.108108108108109,Flu A/H1,Influenza A/H1,010524_Expt9_SISPA_Daisy,73.0,S2P4,Influenza A/H1,0.0,0,True
73,010524_Expt9_SISPA_Daisy,Influenza_A_virus_A_Puerto_Rico_8_1934H1N1_segment_6,1eaa3f3f-d7f9-4d8d-ad42-0b48d4d30c52,4.0,67.0,6.0,5.970149253731343,Flu A/H1,Influenza A/H1,010524_Expt9_SISPA_Daisy,73.0,S2P4,Influenza A/H1,0.0,0,False
73,010524_Expt9_SISPA_Daisy,Influenza_A_virus_A_Puerto_Rico_8_1934H1N1_segment_1,fcad8123-6de9-4ee9-82c6-fcf8149978d8,8.0,122.0,13.0,6.557377049180328,Flu A/H1,Influenza A/H1,010524_Expt9_SISPA_Daisy,73.0,S2P4,Influenza A/H1,0.0,0,True
69,010524_Expt9_SISPA_Daisy,Influenza_A_virus_A_Puerto_Rico_8_1934H1N1_segment_1,34d0fafb-4841-4fe6-aeed-56b4b3d5bdec,2.0,87.0,14.0,2.2988505747126435,Flu A/H1,Influenza A/H1,010524_Expt9_SISPA_Daisy,69.0,S2P2,Influenza A/H1,0.0,0,True
69,010524_Expt9_SISPA_Daisy,Influenza_A_virus_A_Puerto_Rico_8_1934H1N1_segment_6,85f5a312-0457-47cb-bc54-1af0b9b942b1,22.0,143.0,14.0,15.384615384615385,Flu A/H1,Influenza A/H1,010524_Expt9_SISPA_Daisy,69.0,S2P2,Influenza A/H1,0.0,0,False
69,010524_Expt9_SISPA_Daisy,Influenza_A_virus_A_Puerto_Rico_8_1934H1N1_segment_1,3621fc4d-b485-4354-8d6c-7ebb0ca1e239,10.0,205.0,60.0,4.878048780487805,Flu A/H1,Influenza A/H1,010524_Expt9_SISPA_Daisy,69.0,S2P2,Influenza A/H1,0.0,0,True
69,010524_Expt9_SISPA_Daisy,Influenza_A_virus_A_Puerto_Rico_8_1934H1N1_segment_6,278d818b-958a-44d6-b4b9-3a90329b9809,3.0,78.0,19.0,3.8461538461538463,Flu A/H1,Influenza A/H1,010524_Expt9_SISPA_Daisy,69.0,S2P2,Influenza A/H1,0.0,0,False
73,010524_Expt9_SISPA_Daisy,Influenza_A_virus_A_California_07_2009H1N1_segment_2_polymerase_PB1_PB1_gene,70636137-cb9e-4129-bc16-e72e9164b03a,5.0,216.0,60.0,2.314814814814815,Flu A/H1-2009,Influenza A/H1-2009,010524_Expt9_SISPA_Daisy,73.0,S2P4,Influenza A/H1-2009,0.0,0,False
73,010524_Expt9_SISPA_Daisy,Influenza_A_virus_A_California_07_2009H1N1_segment_2_polymerase_PB1_PB1_gene,52c87cca-00af-430f-9bc4-e3fd5057ccb8,22.0,404.0,60.0,5.445544554455446,Flu A/H1-2009,Influenza A/H1-2009,010524_Expt9_SISPA_Daisy,73.0,S2P4,Influenza A/H1-2009,0.0,0,False
73,010524_Expt9_SISPA_Daisy,Influenza_A_virus_A_California_07_2009H1N1_segment_6_neuraminidase_NA_gene,fcf32eca-674c-46a0-ba61-b10b1d9b82a0,20.0,212.0,60.0,9.433962264150944,Flu A/H1-2009,Influenza A/H1-2009,010524_Expt9_SISPA_Daisy,73.0,S2P4,Influenza A/H1-2009,0.0,0,False
69,010524_Expt9_SISPA_Daisy,Influenza_A_virus_A_California_07_2009H1N1_segment_2_polymerase_PB1_PB1_gene,ce12d001-95e3-4302-8f97-10ef19f62e7f,7.0,290.0,60.0,2.413793103448276,Flu A/H1-2009,Influenza A/H1-2009,010524_Expt9_SISPA_Daisy,69.0,S2P2,Influenza A/H1-2009,0.0,0,False
69,010524_Expt9_SISPA_Daisy,Influenza_A_virus_A_California_07_2009H1N1_segment_5_nucleocapsid_protein_NP_gene,7241017b-03a5-41b5-8c07-4e2259671fee,10.0,267.0,60.0,3.7453183520599254,Flu A/H1-2009,Influenza A/H1-2009,010524_Expt9_SISPA_Daisy,69.0,S2P2,Influenza A/H1-2009,0.0,0,False
69,010524_Expt9_SISPA_Daisy,Influenza_A_virus_A_California_07_2009H1N1_segment_4_hemagglutinin_HA_gene,2e50cc0a-5c8b-4379-b9ed-5fb6ac6188db,13.0,226.0,60.0,5.752212389380531,Flu A/H1-2009,Influenza A/H1-2009,010524_Expt9_SISPA_Daisy,69.0,S2P2,Influenza A/H1-2009,0.0,0,False
69,010524_Expt9_SISPA_Daisy,Influenza_A_virus_A_California_07_2009H1N1_segment_4_hemagglutinin_HA_gene,c5f74c0e-a74b-42cd-9f1f-efa0271bbda5,8.0,234.0,60.0,3.418803418803419,Flu A/H1-2009,Influenza A/H1-2009,010524_Expt9_SISPA_Daisy,69.0,S2P2,Influenza A/H1-2009,0.0,0,False
73,010524_Expt9_SISPA_Daisy,Influenza_A_virus_A_California_07_2009H1N1_segment_2_polymerase_PB1_PB1_gene,1288e19f-c9fe-4799-b8db-525d6099dfb6,3.0,71.0,5.0,4.225352112676056,Flu A/H1-2009,Influenza A/H1-2009,010524_Expt9_SISPA_Daisy,73.0,S2P4,Influenza A/H1-2009,0.0,0,False
69,010524_Expt9_SISPA_Daisy,Influenza_A_virus_A_California_07_2009H1N1_segment_6_neuraminidase_NA_gene,1e968f34-56b7-4650-8ee9-2068cc126f42,8.0,164.0,60.0,4.878048780487805,Flu A/H1-2009,Influenza A/H1-2009,010524_Expt9_SISPA_Daisy,69.0,S2P2,Influenza A/H1-2009,0.0,0,False
73,010524_Expt9_SISPA_Daisy,Influenza_A_virus_A_California_07_2009H1N1_segment_2_polymerase_PB1_PB1_gene,6930c60a-7630-482f-a75f-9efd3ace4dfe,10.0,202.0,60.0,4.9504950495049505,Flu A/H1-2009,Influenza A/H1-2009,010524_Expt9_SISPA_Daisy,73.0,S2P4,Influenza A/H1-2009,0.0,0,False
69,010524_Expt9_SISPA_Daisy,Influenza_A_virus_A_California_07_2009H1N1_segment_2_polymerase_PB1_PB1_gene,9b0c1eb6-d577-432d-80eb-3ab80550e0ca,1.0,78.0,46.0,1.282051282051282,Flu A/H1-2009,Influenza A/H1-2009,010524_Expt9_SISPA_Daisy,69.0,S2P2,Influenza A/H1-2009,0.0,0,False
